record_id,model,units_sold,make,low_price,high_price,year_month,is_ev,body_type,brand,brand_country,brand_raw,is_ev_raw,energy_label_corrected,avg_price_k_rmb,energy_type,body_type_cn,country_cn,brand_origin,price_band,year,month,quarter,year_month_label
9865,哈弗H6,59133,长城汽车,98.9,157.0,2018-01-01,Gasoline,SUV,Great Wall,China,Great Wall,Gasoline,False,128.0,燃油,SUV,中国,中国品牌,10–15万元,2018,1,Q1,2018-01
9866,宝骏510,58006,上汽通用五菱,53.8,80.8,2018-01-01,Gasoline,SUV,Wuling Motors,China,Wuling Motors,Gasoline,False,67.3,燃油,SUV,中国,中国品牌,10万元以下,2018,1,Q1,2018-01
9867,五菱宏光,55138,上汽通用五菱,46.0,59.9,2018-01-01,Gasoline,MPV,Wuling Motors,China,Wuling Motors,Gasoline,False,53.0,燃油,MPV,中国,中国品牌,10万元以下,2018,1,Q1,2018-01
9868,卡罗拉,46735,一汽丰田,109.8,159.8,2018-01-01,Gasoline,Sedan,Toyota,Japan,Toyota,Gasoline,False,134.8,燃油,轿车,日本,海外品牌,10–15万元,2018,1,Q1,2018-01
9869,朗逸,44202,上汽大众,100.9,159.9,2018-01-01,Gasoline,Hatchback,Volkswagen,Germany,Volkswagen,Gasoline,False,130.4,燃油,两厢车,德国,海外品牌,10–15万元,2018,1,Q1,2018-01
9870,捷达,39651,一汽-大众,79.8,106.8,2018-01-01,Gasoline,Sedan,Volkswagen,Germany,Volkswagen,Gasoline,False,93.3,燃油,轿车,德国,海外品牌,10万元以下,2018,1,Q1,2018-01
9871,轩逸,38179,东风日产,99.8,174.9,2018-01-01,Gasoline,Sedan,Nissan,Japan,Nissan,Gasoline,False,137.4,燃油,轿车,日本,海外品牌,10–15万元,2018,1,Q1,2018-01
9872,速腾,34874,一汽-大众,127.9,172.9,2018-01-01,Gasoline,Sedan,Volkswagen,Germany,Volkswagen,Gasoline,False,150.4,燃油,轿车,德国,海外品牌,15–20万元,2018,1,Q1,2018-01
9873,传祺GS4,34442,广汽乘用车,89.8,131.8,2018-01-01,Gasoline,SUV,GAC Group,China,GAC Group,Gasoline,False,110.8,燃油,SUV,中国,中国品牌,10–15万元,2018,1,Q1,2018-01
9874,桑塔纳,33793,上汽大众,87.9,112.8,2018-01-01,Gasoline,Hatchback,Volkswagen,Germany,Volkswagen,Gasoline,False,100.4,燃油,两厢车,德国,海外品牌,10–15万元,2018,1,Q1,2018-01
9875,宝来,32585,一汽-大众,98.8,157.0,2018-01-01,Gasoline,Sedan,Volkswagen,Germany,Volkswagen,Gasoline,False,127.9,燃油,轿车,德国,海外品牌,10–15万元,2018,1,Q1,2018-01
9876,博越,30381,吉利汽车,91.8,142.8,2018-01-01,Gasoline,SUV,Geely Automobile,China,Geely Automobile,Gasoline,False,117.3,燃油,SUV,中国,中国品牌,10–15万元,2018,1,Q1,2018-01
9877,迈腾,29297,一汽-大众,186.9,309.9,2018-01-01,Gasoline,Sedan,Volkswagen,Germany,Volkswagen,Gasoline,False,248.4,燃油,轿车,德国,海外品牌,20–30万元,2018,1,Q1,2018-01
9878,英朗,28016,上汽通用别克,119.9,125.9,2018-01-01,Gasoline,Hatchback,Buick,United States,Buick,Gasoline,False,122.9,燃油,两厢车,美国,海外品牌,10–15万元,2018,1,Q1,2018-01
